序号,标的代码,标的全称,持仓头寸,折合人民币市值,仓位占比,过去12个月每股已派发股息（原生币种）,适用股息税率,税前总股息（人民币）,应缴股息税（人民币）,税后到手股息（人民币）,税后股息贡献占比,官方数据来源
1,QQQM,景顺纳斯达克100 ETF,5000股,"9,969,247.12",47.02%,1.26925 USD,10.0%,"43,030.22","4,303.02","38,727.20",8.91%,Google Finance 2026-06-08 09:57 ET real-time / StockAnalysis distributions
2,VOO,先锋标普500 ETF,700股,"3,236,401.52",15.26%,7.1281 USD,10.0%,"33,832.04","3,383.20","30,448.84",7.01%,Google Finance 2026-06-08 09:46 ET real-time / StockAnalysis distributions
3,IYW,iShares美国科技ETF,1300股,"2,164,058.23",10.21%,0.27066 USD,10.0%,"2,385.74",238.57,"2,147.17",0.49%,Google Finance 2026-06-08 09:56 ET real-time / StockAnalysis distributions
4,GPIQ,高盛纳指100收益ETF,4500股,"1,754,432.90",8.27%,5.53238 USD,0.5%,"168,803.30",844.02,"167,959.28",38.67%,Google Finance 2026-06-08 09:57 ET real-time / StockAnalysis latest 12 monthly distributions
5,QQQI,NEOS纳指100高收益ETF,2350股,"887,363.34",4.19%,7.59829 USD,0.1%,"121,071.00",121.07,"120,949.93",27.84%,Google Finance 2026-06-08 09:57 ET real-time / StockAnalysis latest 12 monthly distributions
6,0883.HK,中国海洋石油港股,30000股,"706,671.90",3.33%,1.28 HKD,10.0%,"33,427.20","3,342.72","30,084.48",6.92%,Google Finance 2026-06-08 16:09 HKT close / CNOOC FY2025 annual dividend announcement
7,BITB,Bitwise现货比特币ETF,3000股,"703,400.46",3.32%,0 USD,0.0%,0.00,0.00,0.00,0.00%,Google Finance 2026-06-08 09:57 ET real-time / fixed no dividend
8,0700.HK,腾讯控股港股,1500股,"582,886.80",2.75%,5.3 HKD,0.0%,"6,920.48",0.00,"6,920.48",1.59%,Yahoo Finance 2026-06-08 16:09 HKT close / Tencent 2025 dividend announcement
9,CGDV,资本集团股息价值ETF,1500股,"486,969.55",2.30%,0.5685 USD,10.0%,"5,782.00",578.20,"5,203.80",1.20%,Google Finance 2026-06-05 close / StockAnalysis distributions
10,690D.DE,海尔智家D股,30000股,"445,806.46",2.10%,0.15104 EUR,10.0%,"35,559.05","3,555.90","32,003.14",7.37%,Deutsche Boerse Live API 2026-06-08 14:38 CET / StockAnalysis FY2025 distributions
11,BYTE,字节跳动内部期权,171股,"266,094.07",1.25%,0 USD,0.0%,0.00,0.00,0.00,0.00%,用户固定口径：229.5 USD/股；无分红
合计,,,,"21,203,332.35",100.00%,,,"450,811.03","16,366.71","434,444.31",100.00%,
